function	SRR1397196	SRR1397407	SRR1397265	SRR1397339
K12533	0.0	0.0	10.0	0.0
K12534	0.0	0.0	10.0	0.0
K12535	0.0	0.0	10.0	0.0
K12536	58.7	227.5	279.0	332.75
K12537	24.6	172.5	81.0	104.75
K12538	24.6	172.5	81.0	104.75
K12541	2768.79	7223.64	3210.2	9406.460000000001
K12542	2788.73	7620.360000000001	3641.65	9565.01
K12543	2657.73	7300.860000000001	3129.9	8340.76
K12544	0.0	0.0	10.0	0.0
K12545	5.0	4.0	5.0	7.0
K12549	7.0	15.0	9.0	27.0
K12554	46.0	2.0	22.0	5.0
K12555	98.6	584.7	211.2	773.2
K12573	4241.47	13409.169999999998	5508.5199999999995	25648.33
K12574	3662.9300000000003	6781.67	3834.44	17545.260000000002
K12582	50.0	128.25	56.0	217.75
K12583	141.67	206.5	134.5	393.0
K12585	3.0	6.0	0.0	36.0
K12589	0.0	70.0	0.0	103.0
K12600	0.0	0.0	21.0	0.0
K12658	745.0	776.0	1554.5	1110.75
K12660	0.0	0.25	0.0	2.75
K12661	12.0	293.75	41.5	126.75
K12678	100.0	256.75	112.0	438.25
K12684	10.0	8.25	10.0	16.75
K12685	5.0	263.5	16.5	45.0
K12686	123.94	1152.72	297.95000000000005	568.05
K12687	0.0	0.25	0.0	2.75
K12700	50.0	134.25	58.0	232.75
K12733	0.0	0.0	21.0	0.0
K12784	0.0	0.25	0.0	2.75
K12785	0.0	0.25	0.0	2.75
K12787	0.0	0.25	0.0	2.75
K12790	0.0	0.25	0.0	2.75
K12940	100.0	292.25	78.0	425.75
K12941	776.0	770.25	1445.0	1564.75
K12942	875.0	1504.58	1368.5	4019.75
K12943	50.0	128.25	56.0	217.75
K12944	95.0	392.25	146.0	552.75
K12945	50.0	128.25	56.0	217.75
K12952	82.6	197.2	73.2	248.2
K12954	198.0	413.83	209.5	786.0
K12957	86.5	404.25	160.5	367.25
K12960	1809.62	3450.7200000000003	1529.45	10345.539999999999
K12961	315.0	590.75	456.5	844.75
K12962	50.0	128.25	56.0	217.75
K12963	50.0	128.25	56.0	217.75
K12972	2845.44	4131.47	3659.45	8201.3
K12973	105.0	260.25	117.0	439.75
K12974	50.0	128.25	56.0	217.75
K12975	50.0	128.25	56.0	217.75
K12976	1085.93	2243.33	1150.5	1398.58
K12978	77.75	66.25	35.5	792.5
K12979	403.0	172.0	644.0	222.0
K12980	104.0	379.0	78.0	948.0
K12981	5.0	4.0	5.0	7.0
K12982	1187.0	524.5	1287.5	726.0
K12984	50.0	134.0	56.0	216.5
K12988	7.0	46.0	44.5	105.75
K12989	371.5	183.0	533.0	481.5
K12990	1.2	8.0	12.0	11.0
K12991	8.6	220.0	8.0	26.0
K12992	13.0	17.0	25.0	73.0
K12993	7.0	15.0	9.0	27.0
K12994	12.0	17.0	9.0	126.0
K12995	12.0	17.0	9.0	126.0
K12997	0.0	0.0	12.0	0.0
K13001	0.0	99.0	20.0	18.0
K13002	14.0	49.0	60.0	79.0
K13005	65.0	5.5	117.5	15.0
K13006	27.0	9.0	14.0	2208.0
K13007	72.85	567.75	151.75	1005.5
K13009	8.0	226.0	8.0	23.5
K13010	104.5	825.5	182.75	3041.75
K13011	0.0	0.0	10.0	0.0
K13012	116.0	376.0	334.27	665.09
K13013	251.94	575.22	396.05	2482.55
K13014	50.0	128.25	56.0	217.75
K13015	581.44	2651.2200000000003	353.45000000000005	6490.55
K13016	111.0	2454.0	199.0	4434.5
K13017	373.0	2094.5	159.75	710.75
K13018	425.0	2629.0	251.0	4701.5
K13019	48.0	2252.0	142.0	1344.5
K13020	342.0	229.0	34.0	291.0
K13021	59.0	265.5	41.5	51.0
