,0
3e0f639f746ec9456960ec8e27b2e3b7,132.0
1103b58769279fac89109dbe2891f758,128.0
54427caea9bf5ba6c6908a643f641372,128.0
04947a93d25d285badcf906679c8aef7,127.0
0ccaa8d2c5a514e69f0a67320855b775,127.0
9fc3950f2d159e6c4d5952d732f737d2,124.0
73cbd0f4a19f624b318733e318319722,124.0
d30c885f3670848ccb21de4e516af502,120.0
972282570c16696caf87512fa6255683,119.0
5a63291cdd4991e5e638ead4cf24da83,117.0
62d3644b8331e456357d30d257f58f91,116.0
0a9599e8e3e21491aaa1c31005ca1a5b,114.0
ad22b536757081e7f9702db219574722,112.0
8ceb01b9e6b2c7ad671acfe512139ae7,110.0
4fc23cffe26471862b4c286225dced91,109.0
27dac11171496a0262947e82500a2d68,109.0
a0559f6b93e3f9ea57f1dd251b35cbcf,109.0
0866b11d3f5609a80fc73bf65fd4359c,108.0
09d74c2696ba9dde65c724fd90875698,106.0
bef9f33e3e965e92dc7d2758f411b290,104.0
69c3f4ffae9d8b9302839fa5fe0333da,103.0
0acc4e33824bc8c4a527f61127502081,103.0
fc78374ad7775fcac86b26ebd8cf9b88,103.0
aa0804431a1aee57200c5b0a69aac343,102.0
99819312223926fdcbacdab5b39fee9b,100.0
0fd022c9e1b23c0153527cbc164127d9,98.0
1302185b78957aebc77272ab61855cbb,96.0
66f2eed6c882264dde0cd88a4cf76c40,92.0
74277e08e3b77ebc0ce3367cc5d7d78c,90.0
23ff0eb173df44588975d9ccd339de88,88.0
5a057d487e3cb327fc5e14e68c33ec85,88.0
995d8c95fc5e187258fac55fe76e851d,86.0
560ebbac7968bc1fa1b68dce56096f31,86.0
95b996cedfae1022aa619b26e23bab18,85.0
0194afcb79e0870142b2382dc885f8a9,83.0
221a931b6a1743442ebdd0e42ae91bfa,79.0
190bf47ae253adb07681ad14974bae14,78.0
43c750652b2f0a86a814d12200d515a3,78.0
489f48ee0cc112f581166f1bd0670284,76.0
15e7c7e665587ad27de6666b925ec2b1,75.0
2ca5daa58289a569bd09b6be74837808,74.0
96ce16bba76400834d13860dcb60d445,74.0
5c4d582a48235e79786d31742568f4d1,74.0
f69a8f16b0ef028e8bf10bb474dd6bbf,72.0
5d14247fb0f5f43fb026a17a9afd346b,72.0
56b26bcf6dd2354dea6600f36de0ab53,69.0
5f316e324cae98d6f5cd79b9b2c1ed3d,69.0
48d16c6a67051a67472a359e118cd2eb,68.0
03b1a910ba6a7e3473d64b6d0e363acd,66.0
c2628b9a66b16a2e3fe3024f132a6865,65.0
dae2b9b0759af609dfe4818dce852671,65.0
5a9dc9084ead7bff23c8de97911386c8,64.0
