function	SRR1397196	SRR1397265	SRR1397339	SRR1397407
2.4.1.230-RXN	0.0	0.0	8.0	6.0
2.4.1.38-RXN	0.0	15.0	0.0	0.0
2.4.1.44-RXN	0.0	0.0	2.75	0.25
2.4.1.46-RXN	65.0	23.0	2919.0	26.0
2.4.1.52-RXN	0.0	0.0	40.0	0.0
2.4.1.56-RXN	0.0	0.0	2.75	0.25
2.4.1.57-RXN	94.0	105.5	481.0	209.83
2.4.1.58-RXN	50.0	56.0	217.75	128.25
2.4.1.83-RXN	2785.55	3029.9	26867.85	8450.94
2.4.2.12-RXN	309.0	452.0	561.0	326.0
2.4.2.37-RXN	72.69	52.95	1252.46	339.89000000000004
2.5.1.19-RXN	5537.139999999999	5787.02	35689.33	15394.669999999998
2.5.1.39-RXN	4223.87	5202.549999999999	19671.54	10100.47
2.5.1.41-RXN	0.0	0.0	103.0	80.0
2.5.1.42-RXN	0.0	0.0	87.0	80.0
2.5.1.44-RXN	411.94	619.55	929.55	609.72
2.5.1.46-RXN	431.0	1019.5	2612.0	1010.5
2.5.1.64-RXN	684.27	1237.97	7303.7	4281.62
2.5.1.68-RXN	141.67	134.5	401.0	212.5
2.6.1.18-RXN	2473.52	3001.05	6963.630000000001	4299.05
2.6.1.22-RXN	1476.44	1692.45	1807.3	1210.3
2.6.1.37-RXN	200.5	260.67	2382.75	1766.5
2.6.1.57-RXN	2492.2200000000003	2296.95	5944.04	3742.47
2.6.1.82-RXN	85.0	132.0	448.75	1022.25
2.7.1.148-RXN	4864.639999999999	5410.02	25682.83	12058.67
2.7.1.156-RXN	4136.87	4669.05	13109.29	7674.47
2.7.1.63-RXN	286.67	456.5	813.0	503.5
2.7.1.69-RXN	8162.05	10259.75	37207.11	15958.03
2.7.1.90-RXN	163.67000000000002	342.5	2817.0	3040.67
2.7.10.1-RXN	99.6	99.0	2049.0	703.0
2.7.11.24-RXN	3.0	0.0	3.0	32.0
2.7.13.1-RXN	79.85	257.0	2722.41	1007.17
2.7.13.3-RXN	41169.68	47458.51	216917.47	109262.63
2.7.3.9-RXN	4707.33	5527.969999999999	24403.88	10720.64
2.7.7.1-RXN	1150.5	1187.17	1234.25	465.25
2.7.7.13-RXN	4952.48	5311.52	35909.34	16025.86
2.7.7.15-RXN	0.0	0.0	3.0	9.0
2.7.7.33-RXN	1038.83	1219.6	2981.49	1423.5
2.7.7.39-RXN	16.75	27.75	249.25	98.25
2.7.7.60-RXN	4805.639999999999	5317.52	25655.83	12159.669999999998
2.7.7.61-RXN	85.0	59.0	301.75	245.25
2.7.7.8-RXN	5038.639999999999	5470.52	31805.83	13682.169999999998
2.7.8.12-RXN	48.0	69.0	421.5	200.5
2.7.8.14-RXN	24.0	29.0	136.0	67.0
2.7.8.15-RXN	0.0	0.0	29.0	0.0
2.7.8.24-RXN	621.94	1178.45	2304.8	1019.72
2.7.8.25-RXN	250.04	258.52	962.91	901.84
2.7.8.6-RXN	112.35	100.25	1274.25	426.25
2.7.9.3-RXN	3379.93	3114.5	15178.489999999998	9792.58
2.8.1.6-RXN	4741.6	4896.6	22159.49	12771.75
2.8.3.10-RXN	124.0	101.5	3475.25	648.75
2.8.3.13-RXN	8.0	3.0	26.0	27.0
2.8.3.7-RXN	86.0	130.0	362.0	1044.0
2.8.3.9-RXN	220.76	236.8	5391.950000000001	1000.63
2.9.1.1-RXN	1439.6799999999998	1874.7	7143.28	5455.11
2OXOGLUTDECARB-RXN	3543.23	4959.27	15553.93	9090.36
2PGADEHYDRAT-RXN	5066.639999999999	5522.19	32035.83	13902.169999999998
2TRANSKETO-RXN	7772.4	8562.02	46881.44	18682.97
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	4920.87	5388.32	27790.130000000005	13455.8
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN	218.0	371.0	1049.0	516.0
3-DEHYDROQUINATE-DEHYDRATASE-RXN	5078.68	5671.469999999999	31537.63	14421.89
3-DEHYDROQUINATE-SYNTHASE-RXN	5243.139999999999	5854.02	34441.33	14078.169999999998
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	1159.29	1494.55	12400.46	5288.89
3-HYDROXY-KYNURENINASE-RXN	873.94	1519.72	4400.389999999999	1648.72
3-HYDROXYASPARTATE-ALDOLASE-RXN	140.5	115.0	1487.5	399.0
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	2805.08	3629.5	7646.6	3825.94
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN	3757.23	5080.2	20906.22	7943.34
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	7570.799999999999	9348.72	38426.16	20504.25
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	8190.5	10181.4	27041.02	14370.52
3-NUCLEOTID-RXN	1010.77	1435.24	12084.63	2856.12
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	6395.139999999999	7454.4	24143.83	16808.190000000002
3-OXOACID-COA-TRANSFERASE-RXN	3599.66	6102.2	15585.82	8694.99
3-OXOACYL-ACP-REDUCT-RXN	21845.42	25252.7	116140.3	49205.240000000005
3-OXOACYL-ACP-SYNTH-BASE-RXN	3042.37	4376.549999999999	11881.95	6744.89
3-OXOACYL-ACP-SYNTH-RXN	3042.37	4376.549999999999	11881.95	6744.89
3-OXOADIPATE-COA-TRANSFERASE-RXN	1217.0	1956.0	2503.0	1274.0
3-OXOADIPATE-ENOL-LACTONASE-RXN	2397.94	2788.95	7375.800000000001	4043.22
3-OXOSTEROID-1-DEHYDROGENASE-RXN	340.0	397.0	3102.75	2072.5
3.1.1.64-RXN	381.6	290.74	5504.88	1012.2
3.1.1.73-RXN	357.0	575.0	935.0	1981.0
3.1.1.75-RXN	892.19	1803.05	7231.960000000001	2150.89
3.1.1.81-RXN	46.33	93.0	341.33	271.33
3.1.11.1-RXN	1985.33	2042.0	5446.33	3953.58
3.1.11.2-RXN	7848.01	9328.05	35740.03	19384.97
3.1.11.6-RXN	10149.28	11174.04	61396.66	27609.34
3.1.13.1-RXN	1526.35	1288.0	3073.66	786.4200000000001
3.1.13.5-RXN	4069.88	6112.6	19755.43	8251.52
3.1.2.21-RXN	10.1	7.2	12.2	4.2
3.1.2.23-RXN	1437.12	1643.45	7752.039999999999	5109.22
3.1.21.1-RXN	597.3299999999999	874.5	3651.83	4234.58
3.1.21.2-RXN	2267.52	1978.47	18160.79	8597.619999999999
3.1.21.3-RXN	8775.439999999999	9659.2	52256.04	29751.9
3.1.21.4-RXN	133.0	267.5	473.0	371.5
3.1.21.5-RXN	321.17	548.5	1457.0	862.17
